Ign,Team,Clutches,Failures,Percentage
prozin,Sharks Esports,3,1,300%
Jinx,FENNEL,2,2,100%
jeyj7y,OtherSide,4,5,80%
jfoen,Infinity Esports,9,12,75%
simple,Reven Esports (si),3,4,75%
kAdavra,Alliance,5,7,71%
Ethan,100 Thieves,4,6,67%
hastad,SLICK,2,3,67%
leakeN,Divinity (si),5,8,63%
Theory,Border Monsters,8,14,57%
d3ffo,Gambit Esports,5,9,56%
BORKUM,Bren Esports,1,2,50%
2zzy,FENNEL,4,8,50%
xenon,One Breath Gaming (si),1,2,50%
SicK,Sentinels,5,10,50%
Sp1ke,Team Singularity,5,10,50%
Zest,Vision Strikers,5,10,50%
dragonite,Vorax,3,6,50%
mag0o,Futbolist,6,13,46%
Redgar,Gambit Esports,5,11,46%
Harry,Team MUYAHO (ex),5,11,46%
Egoist,Team SMG,5,11,46%
Eeyore,BOOM Esports,4,9,44%
NagZ,KRÜ Esports,4,9,44%
Xander,LDM Esports,8,18,44%
Secret,DAMWON Gaming,7,16,44%
Alejo,Infinity Esports,6,14,43%
Closer,Australs,6,15,40%
gessito,Stampede Gaming,6,15,40%
kaminoco,FIRST Gaming,5,13,39%
food,Team Envy,5,13,39%
Sayf,Guild Esports,6,16,38%
Pooh1Tap,X10 Esports (ex),7,19,37%
Coffee,forZe,4,11,36%
mwzera,Gamelanders,4,11,36%
XiSTOU,Oxygen Esports,4,11,36%
SH0CKWAVE,LDM Esports,9,25,36%
kiles,ACEND,5,14,36%
nolaN,Infinity Esports (ex),5,14,36%
Rb,Vision Strikers,5,14,36%
hoppY,DfuseTeam,6,17,35%
Bonecold,ACEND,7,20,35%
ZesBeeW,Team SMG,7,20,35%
Tacolillalzh,Australs,6,18,33%
blaZek1ng,BOOM Esports,4,12,33%
AKUMAAAAA,DfuseTeam,2,6,33%
logaN,DfuseTeam,7,21,33%
Kipperman,fastPay Wildcats (ex),2,6,33%
Neftyy,Funkboings (ex),3,9,33%
PAULTATO,KPC (si),1,3,33%
W1nner,KPC (si),1,3,33%
ChAlalala,NG.Black,3,9,33%
SuperBusS,NG.Black,1,3,33%
Ryu,Reven Esports,2,6,33%
Reverse,Reven Esports (si),1,3,33%
smasher,Reven Esports (si),2,6,33%
stax,Vision Strikers,6,18,33%
fzkk,Vorax,1,3,33%
hvoya,CrowCrowd,7,22,32%
Danielesflo,LDM Esports,5,16,31%
sScary,X10 Esports,5,16,31%
Flax,Lag Gaming,4,13,31%
KEREME,Ballista Esports,3,10,30%
wyz,Border Monsters,6,20,30%
Darrick,Cyber Skull Esports (si),3,10,30%
T3xture,DAMWON Gaming,6,20,30%
Bunny,F4Q,3,10,30%
ANGE1,FunPlus Phoenix,3,10,30%
BerLIN,KPC (si),3,10,30%
Lightning,One Breath Gaming,3,10,30%
NERIS,Rare Esports,6,20,30%
gtnziN,Team Vikings,3,10,30%
crws,X10 Esports,3,10,30%
Halbae,APE Prince,5,17,29%
Art1st,forZe,5,17,29%
qw1,Rare Esports,5,17,29%
Asuna,100 Thieves,2,7,29%
Melser,Australs,8,28,29%
dimasick,FunPlus Phoenix,2,7,29%
qck,FURIA Esports,2,7,29%
kaboose,Team Envy,4,14,29%
TS,TNL Esports,2,7,29%
BRAVEAFb0Y,tyeasy,2,7,29%
YANKAS,Zero Zone,2,7,29%
xenon,GMT eSports,7,25,28%
HellFull,Lazer Klan,5,18,28%
legoo,BBL Esports,8,29,28%
Tian,Divinity,3,11,27%
bnj,Meta Gaming,3,11,27%
MT1,Stampede Gaming (si),3,11,27%
takej,Absolute JUPITER,4,15,27%
ZachaREEE,FaZe Clan,4,15,27%
Nozwerr,FURIA Esports,4,15,27%
Kaminari,REJECT,4,15,27%
Gaijin,Zero Zone,4,15,27%
Laz,Absolute JUPITER,5,19,26%
Cloud,CrowCrowd,5,19,26%
AztKk,Lazer Klan,5,19,26%
foxz,X10 Esports,5,19,26%
sancho,Akave Esports,3,12,25%
luckeRRR,Alliance,4,16,25%
qxv,Ballista Esports,2,8,25%
russ,BBL Esports,4,16,25%
JessieVash,Bren Esports,2,8,25%
Medusa,Crazy Raccoon,5,20,25%
Chocol4tE,FAV gaming,8,32,25%
zeddy,forZe,3,12,25%
iDisoh,Funkboings,3,12,25%
xand,FURIA Esports,2,8,25%
Tio,Furious Gaming (si),5,20,25%
Leo,Guild Esports,8,32,25%
gustt1nha,Imperial Esports,1,4,25%
JohnOlsen,NG.Black,1,4,25%
m1tez,Oxygen Esports,3,12,25%
ryotzz,paiN Gaming,2,8,25%
NoriseN,REJECT,8,32,25%
fra,Sharks Esports,1,4,25%
ntk,SLICK,2,8,25%
sayoo,Team NXL,1,4,25%
Dima,Team Singularity,1,4,25%
Yato,fastPay Wildcats,6,25,24%
kiNgg,Australs,5,21,24%
eKo,TNL Esports,7,30,23%
Marved,FaZe Clan,3,13,23%
Leobas,KRÜ Esports,3,13,23%
Klauss,Furious Gaming (si),8,35,23%
steel,100 Thieves,4,18,22%
Starxo,ACEND,6,27,22%
neth,Crazy Raccoon,4,18,22%
FiveK,F4Q,2,9,22%
TORANECO,FIRST Gaming,4,18,22%
Winteryrook,GMT eSports,2,9,22%
TenZ,Sentinels,2,9,22%
LEXY,Team SMG,4,18,22%
aimDLL,BBL Esports,5,23,22%
RUBINO,Team Heretics,5,23,22%
adverso,Australs,3,14,21%
Kelly,DAMWON Gaming,6,28,21%
qRaxs,Futbolist,3,14,21%
Muj,OtherSide (si),3,14,21%
Sacy,Team Vikings,3,14,21%
gMd,Gen.G Esports,4,19,21%
Reita,Absolute JUPITER,5,24,21%
Bazzi,Lag Gaming,5,24,21%
Daveeys,Lazer Klan (ex),5,24,21%
deigara,9z Team,1,5,20%
Brazilian,CNCI BLUE BEES,2,10,20%
TakaS,DfuseTeam,3,15,20%
KQC3x,Divinity,2,10,20%
demo0,fastPay Wildcats,3,15,20%
rsT,Imperial Esports,2,10,20%
Klaus,KRÜ Esports,4,20,20%
stellar,Luminosity Gaming,6,30,20%
Bgg,One Breath Gaming,2,10,20%
loWel,Team Heretics,6,30,20%
sutecas,Team Vikings,2,10,20%
k1Ng,Vision Strikers,4,20,20%
sushiboys,X10 Esports,3,15,20%
AYRIN,XSET,1,5,20%
PureR,XSET,1,5,20%
SylFy,FAV gaming,5,26,19%
BEAST,LDM Esports,5,26,19%
Dogor,Border Monsters,4,21,19%
buzlumuzlusut,fastPay Wildcats,4,21,19%
hugeon,forZe,4,21,19%
Mixmeha,GMT eSports,4,21,19%
caz,Lazer Klan,4,21,19%
Circle5,Divinity (si),3,16,19%
olzerr,Stampede Gaming,3,16,19%
Saadhak,Team Vikings,3,16,19%
Violence,Akave Esports,2,11,18%
asteriskk,BOOM Esports,4,22,18%
rion,Crazy Raccoon,4,22,18%
dreAms,CrowCrowd,4,22,18%
Puleule,Meta Gaming,2,11,18%
DeNaro,Sharks Esports,2,11,18%
rodeN,DfuseTeam,3,17,18%
fznnn,Gamelanders,3,17,18%
keznit,Wygers Argentina,3,17,18%
Panicloid,CrowCrowd,4,23,17%
huynh,Gen.G Esports,4,23,17%
koosta,Gen.G Esports,4,23,17%
glow,Vision Strikers,4,23,17%
Shao,FunPlus Phoenix,5,29,17%
JoshS,ArkAngel (ex),1,6,17%
Yohann,ArkAngel (ex),1,6,17%
modeskiii,ArkAngel (si),1,6,17%
akz,KRÜ Esports,2,12,17%
solo,NUTURN Gaming,4,24,17%
spellfull,One Breath Gaming,1,6,17%
kon4n,paiN Gaming,2,12,17%
